# n classic_us strassen_us
2	0.870	6.596
4	0.891	44.878
6	1.081	192.379
8	1.896	148.966
10	2.036	1142.503
12	3.523	1251.701
14	5.235	1165.195
16	14.891	1007.141
18	7.582	5201.057
20	6.565	4800.495
22	20.937	5368.601
24	11.642	6114.879
26	29.294	6362.430
28	19.027	6317.842
30	51.270	7135.063
32	24.472	4922.160
34	33.949	30185.634
36	35.416	29441.884
38	46.494	34905.620
40	54.513	28334.503
42	48.930	29923.798
44	81.296	33575.489
46	96.353	31273.877
48	71.751	30313.304
50	112.812	27501.174
52	152.104	28699.626
54	92.275	27340.809
56	162.208	28352.986
58	147.814	32890.899
60	146.864	27377.601
62	121.030	26225.239
64	139.011	26350.591
